,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Category,column_name,attribute_name,attribute_description,modeled,Field Type / Maximum Field Length,Field Description,Example Field Data,Delimiter, Current Refresh - Fill Rate ,Current Refresh - Percent of Total 
Interest / Hobby - Sports / Outdoor,snow_skiing,Snow Skiing,Likes snow skiing,No,string(01),Yes(1) / No(null),1,Pipe," 9,530,034 ",3%
Interest / Hobby - Sports / Outdoor,sporting_life,Sporting Life,Made up of three or more sports,No,string(01),Yes(1) / No(null),1,Pipe," 73,918,419 ",26%
Interest / Hobby - Sports / Outdoor,sports,Sports,Likes sports,No,string(01),Yes(1) / No(null),1,Pipe," 82,775,077 ",29%
Interest / Hobby - Sports / Outdoor,tennis,Tennis,Likes tennis,No,string(01),Yes(1) / No(null),1,Pipe," 4,428,358 ",2%
Retail Purchase - Auto & Vehicles,auto_parts_repair_accesories_w,Auto Parts Purchase,"Automotive, auto parts and accessories purchase within the last 24 months",No,string(01),Yes(1) / No(null),1,Pipe," 15,375,655 ",5%
Retail Purchase - Big Box Retail,membership_warehouse,Warehouse Membership,Owns a warehouse membership,No,string(01),Yes(1) / No(null),1,Pipe," 5,985,762 ",2%
Retail Purchase - Catalog / Direct Mail,mail_buyer,Direct Mail Buyer,Mail order buyer,No,string(01),Yes(1) / No(null),1,Pipe," 125,398,173 ",44%
Retail Purchase - Catalog / Direct Mail,respondedtocatalog,Catalog Buyer,Responded to catalog,No,string(01),Yes(1) / No(null),1,Pipe," 864,508 ",0%
Retail Purchase - Children,mo_children_s_products,Children's Product Purchase,Purchase children's products via mail,No,string(01),Yes(1) / No(null),1,Pipe," 31,126,782 ",11%
Retail Purchase - Contributor / Donor,crafts_hobbmerchbuyer,Craft Hobby Merchandise Buyer,Purchased craft or hobby merchandise via mail,No,string(01),Yes(1) / No(null),1,Pipe," 60,015,452 ",21%
Retail Purchase - Ecommerce,internet_buyer,Internet Buyer,Buys online,No,string(01),Yes(1) / No(null),1,Pipe," 33,764,553 ",12%
Retail Purchase - Entertainment,mo_dvd,DVD Purchase,Purchased DVDs via mail,No,string(01),Yes(1) / No(null),1,Pipe," 3,590,841 ",1%
Retail Purchase - Fashion / Jewelry,mo_clothing,Clothing Purchase,Purchased clothing via mail,No,string(01),Yes(1) / No(null),1,Pipe," 10,579,964 ",4%
Retail Purchase - Fashion / Jewelry,mo_jewelry,Jewelry Purchase,Purchased jewelry via mail,No,string(01),Yes(1) / No(null),1,Pipe," 9,825,111 ",3%
Retail Purchase - Fashion / Jewelry,mo_plus_size_clothing,Plus Size Clothing Purchase,Purchased plus size clothing via mail,No,string(01),Yes(1) / No(null),1,Pipe," 1,271,331 ",0%
Retail Purchase - General,femalemerchbuyer,Female Merchandise Buyer,Female merchandise buyer,No,string(01),Yes(1) / No(null),1,Pipe," 43,586,269 ",15%
Retail Purchase - General,malemerchbuyer,Male Merchandise Buyer,Male merchandise buyer,No,string(01),Yes(1) / No(null),1,Pipe," 790,963 ",0%
Retail Purchase - Gifts,mo_gifts,Gift Purchase,Purchased gifts via mail,No,string(01),Yes(1) / No(null),1,Pipe," 7,043,670 ",2%
Retail Purchase - Health / Beauty,health_beauty,Health Beauty Purchase,Health and beauty product purchase within the last 24 months,No,string(01),Yes(1) / No(null),1,Pipe," 54,631,623 ",19%
Retail Purchase - Health / Beauty,mo_cosmetics,Cosmetics Purchase,Purchased cosmetics via mail,No,string(01),Yes(1) / No(null),1,Pipe," 30,501,863 ",11%
Retail Purchase - Home,home_improvement,Home Improvement,Home improvement purchase,No,string(01),Yes(1) / No(null),1,Pipe," 90,610,860 ",32%
Retail Purchase - Home,mo_home_furnishing,Home Furnishing Purchase,Purchased home furnishings via mail,No,string(01),Yes(1) / No(null),1,Pipe," 93,829,362 ",33%
Retail Purchase - Music,musical_instruments,Musical Instrument Purchase,Musical instrument purchase within the last 24 months,No,string(01),Yes(1) / No(null),1,Pipe," 2,409,030 ",1%
Retail Purchase - Reading,bookbuyer,Book Buyer,Book buyer,No,string(01),Yes(1) / No(null),1,Pipe," 87,556,896 ",31%
Retail Purchase - Reading,magazine,Magazine Buyer,Magazines purchased,No,string(01),Yes(1) / No(null),1,Pipe," 118,236,356 ",41%
Retail Purchase - Reading,mo_books_or_mag,Book Magazine Purchase,Purchased books or magazines via mail,No,string(01),Yes(1) / No(null),1,Pipe," 49,201,468 ",17%
Travel - Business,travel_business,Business Travel,Business travel,No,string(01),Yes(1) / No(null),1,Pipe," 14,702,858 ",5%
Travel - Credit Card,travel_card,Travel Cards,Indicates possession of travel / entertainment credit cards,No,string(01),Yes(1) / No(null),1,Pipe," 12,465,530 ",4%
Travel - Interest,travel,Travel,Interest in travel,No,string(01),Yes(1) / No(null),1,Pipe," 120,116,929 ",42%
Travel - Interest,travel_cruises,Cruises,Likes cruise travel,No,string(01),Yes(1) / No(null),1,Pipe," 35,193,675 ",12%
Travel - Interest,travel_international,International Travel,Interest in international travel,No,string(01),Yes(1) / No(null),1,Pipe," 29,744,568 ",10%
Travel - Interest,travel_personal,Personal Travel,Interest in personal travel,No,string(01),Yes(1) / No(null),1,Pipe," 18,804,957 ",7%
Travel - Interest,travel_vacation,Vacation Travel,Interest in vacation travel,No,string(01),Yes(1) / No(null),1,Pipe," 92,295,519 ",32%
